Title,State,Salary Type,Salary
Data Architect,NC,Hourly,$56.00
Data Architect,FL,Hourly,$82.50
Data Architect,NC,Hourly,$65.00
Data Architect,CA,Hourly,$75.00
Data Architect,NY,Yearly,$120000.00
Data Architect,PA,Hourly,$70.00
Data Architect,NY,Hourly,$92500.00
Data Architect,PA,Yearly,$79000.00
Data Scientist,IL,Yearly,$110000.00
Data Scientist,CA,Yearly,$65000.00
Data Scientist,OH,Hourly,$49.00
Data Scientist,MD,Yearly,$120000.00
Data Scientist,WA,Hourly,$62.50
Data Scientist,OR,Yearly,$105000.00
Data Scientist,IL,Yearly,$112500.00
Data Scientist,CA,Yearly,$147500.00
Data Scientist,NY,Yearly,$130000.00
Data Scientist,NJ,Yearly,$110000.00
Data Scientist Advisor,VA,Hourly,$70.00
Data Scientist,TX,Yearly,$45000.00
Data Scientist,CA,Yearly,$67500.00
Data Scientist,TX,Hourly,$66.63
Data Analyst,NY,Hourly,$49000.00
Data Analyst,TX,Yearly,$75000.00
Data Analyst,NY,Hourly,$58500.00
Data Analyst,TX,Yearly,$125000.00
Data Analyst,MA,Yearly,$110000.00
Data Analyst,NY,Hourly,$58500.00
Data Analyst,TX,Hourly,$25.00
Data Analyst,VA,Yearly,$42500.00
Data Analyst,MN,Hourly,$55.00
Data Analyst,MA,Hourly,$35000.00
Data Scientist,IL,Yearly,$110000.00
Data Scientist,CA,Yearly,$65000.00
Data Scientist,OH,Hourly,$49.00
Data Scientist,MD,Yearly,$120000.00
Data Scientist,WA,Hourly,$62.50
Data Scientist,OR,Hourly,$105000.00
Data Scientist,IL,Yearly,$112500.00
Data Scientist,CA,Yearly,$147500.00
Data Scientist,NY,Yearly,$130000.00
Data Scientist,NJ,Yearly,$110000.00
Data Scientist Advisor,VA,Hourly,$70.00
Data Scientist,TX,Yearly,$45000.00
Data Scientist,CA,Yearly,$67500.00
Data Scientist,TX,Hourly,$66.63
Data Engineer,CO,Hourly,$68500.00
Data Engineer,TX,Hourly,$63000.00
Data Engineer,GA,Hourly,$45000.00
Data Engineer,GA,Hourly,$45000.00
Data Engineer,VA,Yearly,$65000.00
Data Engineer,RI,Hourly,$70000.00
Data Engineer,RI,Hourly,$79500.00
Data Engineer,NC,Hourly,$65000.00
Data Engineer,WI,Hourly,$55000.00
Data Engineer,TX,Yearly,$160000.00
Data Engineer,GA,Yearly,$120000.00
Data Scientist,IL,Yearly,$110000.00
Data Scientist,CA,Yearly,$65000.00
Data Scientist,MD,Yearly,$120000.00
Data Scientist,OH,Hourly,$49.00
Data Scientist,WA,Hourly,$62.50
Data Scientist,OR,Hourly,$105000.00
Data Scientist,IL,Yearly,$112500.00
Data Scientist,CA,Yearly,$147500.00
Data Scientist,NY,Yearly,$130000.00
Data Scientist,NJ,Yearly,$110000.00
Data Scientist Advisor,VA,Hourly,$70.00
Data Scientist,TX,Yearly,$45000.00
Data Scientist,CA,Yearly,$67500.00
Data Scientist,TX,Hourly,$66.63
Data Scientist,MO,Hourly,$59000.00
Data Scientist,MO,Hourly,$59000.00
Data Scientist,MO,Hourly,$71000.00
Data Scientist,NC,Hourly,$76000.00
Data Scientist,WA,Hourly,$44000.00
Data Scientist,OR,Hourly,$107000.00
Data Scientist,CO,Hourly,$72.50
Data Scientist,TX,Yearly,$95000.00
Data Scientist,TX,Hourly,$25.33
Data Scientist,WA,Yearly,$100000.00
Data Scientist,AR,Hourly,$86000.00
Data Scientist,MD,Yearly,$57500.00
Data Scientist,VA,Yearly,$175000.00
Data Scientist,CA,Yearly,$120000.00
Data Scientist,NY,Yearly,$162500.00
Data Scientist,CO,Yearly,$132500.00
Data Scientist,IL,Yearly,$110000.00
Data Scientist,CA,Yearly,$65000.00
Data Scientist,OH,Hourly,$49.00
Data Scientist,MD,Yearly,$120000.00
Data Scientist,WA,Hourly,$62.50
Data Scientist,OR,Hourly,$105000.00
Data Scientist,IL,Yearly,$112500.00
Data Scientist,CA,Yearly,$147500.00
Data Scientist,NY,Yearly,$130000.00
Data Scientist,NJ,Yearly,$110000.00
Data Scientist Advisor,VA,Hourly,$70.00
Data Scientist,TX,Yearly,$45000.00
Data Scientist,CA,Yearly,$67500.00
Data Scientist,TX,Hourly,$66.63
