Title,State,Salary Type,Salary
Data Scientist,TX,Yearly,"$49,200.00"
Data Scientist,TX,Yearly,"$102,500.00"
Data Scientist,TX,Yearly,"$49,200.00"
Data Scientist,TX,Yearly,"$82,350.00"
Data Engineer,IL,Yearly,"$50,450.00"
Data Scientist,MD,Yearly,"$195,000.00"
Data Scientist,TX,Yearly,"$102,500.00"
Data Scientist,TX,Yearly,"$49,200.00"
Data Scientist,NY,Yearly,"$126,000.00"
Data Scientist,NY,Yearly,"$117,500.00"
Data Scientist,TX,Yearly,"$102,500.00"
Data Scientist,TX,Yearly,"$49,200.00"
Data Scientist,NY,Yearly,"$126,000.00"
Data Scientist,NY,Yearly,"$117,500.00"
Data Scientist,NY,Yearly,"$56,000.00"
